cnae;no_cnae;uf;n_intermitentes
1081302;Torrefação e moagem de café;11;0
1082100;Fabricação de produtos à base de café;11;0
1091100;Fabricação de produtos de panificação;11;0
1091101;Fabricação de produtos de panificação industrial;11;0
1091102;Fabricação de produtos de padaria e confeitaria com predominância de produção própria;11;0
1092900;Fabricação de biscoitos e bolachas;11;0
1093701;Fabricação de produtos derivados do cacau e de chocolates;11;0
1093702;Fabricação de frutas cristalizadas, balas e semelhantes;11;0
1094500;Fabricação de massas alimentícias;11;0
1095300;Fabricação de especiarias, molhos, temperos e condimentos;11;0
1096100;Fabricação de alimentos e pratos prontos;11;0
1099601;Fabricação de vinagres;11;0
1099602;Fabricação de pós alimentícios;11;0
1099603;Fabricação de fermentos e leveduras;11;0
1099604;Fabricação de gelo comum;11;0
1099605;Fabricação de produtos para infusão (chá, mate, etc.);11;0
1099606;Fabricação de adoçantes naturais e artificiais;11;0
1099607;Fabricação de alimentos dietéticos e complementos alimentares;11;0
1099699;Fabricação de outros produtos alimentícios não especificados anteriormente;11;0
1111901;Fabricação de aguardente de cana-de-açúcar;11;0
1111902;Fabricação de outras aguardentes e bebidas destiladas;11;0
1112700;Fabricação de vinho;11;0
1113501;Fabricação de malte, inclusive malte uísque;11;0
1113502;Fabricação de cervejas e chopes;11;0
1121600;Fabricação de águas envasadas;11;0
1122401;Fabricação de refrigerantes;11;0
1122402;Fabricação de chá mate e outros chás prontos para consumo;11;0
1122403;Fabricação de refrescos, xaropes e pós para refrescos, exceto refrescos de frutas;11;0
1122404;Fabricação de bebidas isotônicas;11;0
1122499;Fabricação de outras bebidas não-alcoólicas não especificadas anteriormente;11;0
1210700;Processamento industrial do fumo;11;0
1220401;Fabricação de cigarros;11;0
1220402;Fabricação de cigarrilhas e charutos;11;0
1220403;Fabricação de filtros para cigarros;11;0
1220499;Fabricação de outros produtos do fumo, exceto cigarros, cigarrilhas e charutos;11;0
1311100;Preparação e fiação de fibras de algodão;11;0
1312000;Preparação e fiação de fibras têxteis naturais, exceto algodão;11;0
1313800;Fiação de fibras artificiais e sintéticas;11;0
1314600;Fabricação de linhas para costurar e bordar;11;0
1321900;Tecelagem de fios de algodão;11;0
1322700;Tecelagem de fios de fibras têxteis naturais, exceto algodão;11;0
1323500;Tecelagem de fios de fibras artificiais e sintéticas;11;0
1330800;Fabricação de tecidos de malha;11;0
1340501;Estamparia e texturização em fios, tecidos, artefatos têxteis e peças do vestuário;11;0
1340502;Alvejamento, tingimento e torção em fios, tecidos, artefatos têxteis e peças do vestuário;11;0
1340599;Outros serviços de acabamento em fios, tecidos, artefatos têxteis e peças do vestuário;11;0
1351100;Fabricação de artefatos têxteis para uso doméstico;11;0
1352900;Fabricação de artefatos de tapeçaria;11;0
1353700;Fabricação de artefatos de cordoaria;11;0
1354500;Fabricação de tecidos especiais, inclusive artefatos;11;0
1359600;Fabricação de outros produtos têxteis não especificados anteriormente;11;0
1411801;Confecção de roupas íntimas;11;0
1411802;Facção de roupas íntimas;11;0
1412601;Confecção de peças do vestuário, exceto roupas íntimas e as confeccionadas sob medida;11;0
1412602;Confecção, sob medida, de peças do vestuário, exceto roupas íntimas;11;0
1412603;Facção de peças do vestuário, exceto roupas íntimas;11;0
1413401;Confecção de roupas profissionais, exceto sob medida;11;0
1413402;Confecção, sob medida, de roupas profissionais;11;2
1413403;Facção de roupas profissionais;11;0
1414200;Fabricação de acessórios do vestuário, exceto para segurança e proteção;11;0
1421500;Fabricação de meias;11;0
1422300;Fabricação de artigos do vestuário, produzidos em malharias e tricotagens, exceto meias;11;0
1510600;Curtimento e outras preparações de couro;11;0
1521100;Fabricação de artigos para viagem, bolsas e semelhantes de qualquer material;11;0
1529700;Fabricação de artefatos de couro não especificados anteriormente;11;0
1531901;Fabricação de calçados de couro;11;0
1531902;Acabamento de calçados de couro sob contrato;11;0
1532700;Fabricação de tênis de qualquer material;11;0
1533500;Fabricação de calçados de material sintético;11;0
1539400;Fabricação de calçados de materiais não especificados anteriormente;11;0
1540800;Fabricação de partes para calçados, de qualquer material;11;0
1610201;Serrarias com desdobramento de madeira (Desativado);11;0
1610202;Serrarias sem desdobramento de madeira (Desativado);11;0
1610203;Serrarias com desdobramento de madeira em bruto;11;0
1610204;Serrarias sem desdobramento de madeira em bruto  Resserragem;11;0
1610205;Serviço de tratamento de madeira realizado sob contrato;11;0
1621800;Fabricação de madeira laminada e de chapas de madeira compensada, prensada e aglomerada;11;0
1622601;Fabricação de casas de madeira pré-fabricadas;11;0
1622602;Fabricação de esquadrias de madeira e de peças de madeira para instalações industriais e comerciais;11;0
1622699;Fabricação de outros artigos de carpintaria para construção;11;0
1623400;Fabricação de artefatos de tanoaria e de embalagens de madeira;11;0
1629301;Fabricação de artefatos diversos de madeira, exceto móveis;11;0
1629302;Fabricação de artefatos diversos de cortiça, bambu, palha, vime e outros materiais trançados, exceto móveis;11;0
1710900;Fabricação de celulose e outras pastas para a fabricação de papel;11;0
1721400;Fabricação de papel;11;0
1722200;Fabricação de cartolina e papel-cartão;11;0
1731100;Fabricação de embalagens de papel;11;0
1732000;Fabricação de embalagens de cartolina e papel-cartão;11;0
1733800;Fabricação de chapas e de embalagens de papelão ondulado;11;0
1741901;Fabricação de formulários contínuos;11;0
1741902;Fabricação de produtos de papel, cartolina, papel-cartão e papelão ondulado para uso comercial e de escritório, exceto formulário contínuo;11;0
1742701;Fabricação de fraldas descartáveis;11;0
1742702;Fabricação de absorventes higiênicos;11;0
1742799;Fabricação de produtos de papel para uso doméstico e higiênico-sanitário não especificados anteriormente;11;0
1749400;Fabricação de produtos de pastas celulósicas, papel, cartolina, papel-cartão e papelão ondulado não especificados anteriormente;11;0
1811301;Impressão de jornais;11;0
1811302;Impressão de livros, revistas e outras publicações periódicas;11;0
1812100;Impressão de material de segurança;11;0
1813001;Impressão de material para uso publicitário;11;0
1813099;Impressão de material para outros usos;11;0
1821100;Serviços de pré-impressão;11;0
1822900;Serviços de acabamentos gráficos (Desativado);11;0
1822901;Serviços de encadernação e plastificação;11;0
1822999;Serviços de acabamentos gráficos, exceto encadernação e plastificação;11;0
1830001;Reprodução de som em qualquer suporte;11;0
1830002;Reprodução de vídeo em qualquer suporte;11;0
1830003;Reprodução de software em qualquer suporte;11;0
1910100;Coquerias;11;0
1921700;Fabricação de produtos do refino de petróleo;11;0
1922501;Formulação de combustíveis;11;0
1922502;Rerrefino de óleos lubrificantes;11;0
1922599;Fabricação de outros produtos derivados do petróleo, exceto produtos do refino;11;0
1931400;Fabricação de álcool;11;0
1932200;Fabricação de biocombustíveis, exceto álcool;11;0
2011800;Fabricação de cloro e álcalis;11;0
2012600;Fabricação de intermediários para fertilizantes;11;0
2013400;Fabricação de adubos e fertilizantes (Desativado);11;0
2013401;Fabricação de adubos e fertilizantes organominerais;11;0
2013402;Fabricação de adubos e fertilizantes, exceto organominerais;11;0
2014200;Fabricação de gases industriais;11;0
2019301;Elaboração de combustíveis nucleares;11;0
2019399;Fabricação de outros produtos químicos inorgânicos não especificados anteriormente;11;0
2021500;Fabricação de produtos petroquímicos básicos;11;0
2022300;Fabricação de intermediários para plastificantes, resinas e fibras;11;0
2029100;Fabricação de produtos químicos orgânicos não especificados anteriormente;11;0
2031200;Fabricação de resinas termoplásticas;11;0
2032100;Fabricação de resinas termofixas;11;0
2033900;Fabricação de elastômeros;11;0
2040100;Fabricação de fibras artificiais e sintéticas;11;0
2051700;Fabricação de defensivos agrícolas;11;0
2052500;Fabricação de desinfestantes domissanitários;11;0
2061400;Fabricação de sabões e detergentes sintéticos;11;0
2062200;Fabricação de produtos de limpeza e polimento;11;0
2063100;Fabricação de cosméticos, produtos de perfumaria e de higiene pessoal;11;0
2071100;Fabricação de tintas, vernizes, esmaltes e lacas;11;0
2072000;Fabricação de tintas de impressão;11;0
2073800;Fabricação de impermeabilizantes, solventes e produtos afins;11;0
2091600;Fabricação de adesivos e selantes;11;0
2092401;Fabricação de pólvoras, explosivos e detonantes;11;0
2092402;Fabricação de artigos pirotécnicos;11;0
2092403;Fabricação de fósforos de segurança;11;0
2093200;Fabricação de aditivos de uso industrial;11;0
2094100;Fabricação de catalisadores;11;0
2099101;Fabricação de chapas, filmes, papéis e outros materiais e produtos químicos para fotografia;11;0
2099199;Fabricação de outros produtos químicos não especificados anteriormente;11;0
2110600;Fabricação de produtos farmoquímicos;11;0
2121101;Fabricação de medicamentos alopáticos para uso humano;11;0
2121102;Fabricação de medicamentos homeopáticos para uso humano;11;0
2121103;Fabricação de medicamentos fitoterápicos para uso humano;11;0
2122000;Fabricação de medicamentos para uso veterinário;11;0
2123800;Fabricação de preparações farmacêuticas;11;0
2211100;Fabricação de pneumáticos e de câmaras-de-ar;11;0
2212900;Reforma de pneumáticos usados;11;0
2219600;Fabricação de artefatos de borracha não especificados anteriormente;11;0
2221800;Fabricação de laminados planos e tubulares de material plástico;11;0
2222600;Fabricação de embalagens de material plástico;11;0
2223400;Fabricação de tubos e acessórios de material plástico para uso na construção;11;0
2229301;Fabricação de artefatos de material plástico para uso pessoal e doméstico;11;0
2229302;Fabricação de artefatos de material plástico para usos industriais;11;0
2229303;Fabricação de artefatos de material plástico para uso na construção, exceto tubos e acessórios;11;0
2229399;Fabricação de artefatos de material plástico para outros usos não especificados anteriormente;11;0
2311700;Fabricação de vidro plano e de segurança;11;0
2312500;Fabricação de embalagens de vidro;11;0
2319200;Fabricação de artigos de vidro;11;0
2320600;Fabricação de cimento;11;0
2330301;Fabricação de estruturas pré-moldadas de concreto armado, em série e sob encomenda;11;0
2330302;Fabricação de artefatos de cimento para uso na construção;11;0
2330303;Fabricação de artefatos de fibrocimento para uso na construção;11;0
2330304;Fabricação de casas pré-moldadas de concreto;11;0
2330305;Preparação de massa de concreto e argamassa para construção;11;0
2330399;Fabricação de outros artefatos e produtos de concreto, cimento, fibrocimento, gesso e materiais semelhantes;11;0
2341900;Fabricação de produtos cerâmicos refratários;11;0
2342701;Fabricação de azulejos e pisos;11;0
2342702;Fabricação de artefatos de cerâmica e barro cozido para uso na construção, exceto azulejos e pisos;11;0
2349401;Fabricação de material sanitário de cerâmica;11;0
2349499;Fabricação de produtos cerâmicos não-refratários não especificados anteriormente;11;0
2391501;Britamento de pedras, exceto associado à extração;11;0
2391502;Aparelhamento de pedras para construção, exceto associado à extração;11;0
2391503;Aparelhamento de placas e execução de trabalhos em mármore, granito, ardósia e outras pedras;11;0
2392300;Fabricação de cal e gesso;11;0
2399101;Decoração, lapidação, gravação, vitrificação e outros trabalhos em cerâmica, louça, vidro e cristal;11;0
2399102;Fabricação de abrasivos;11;0
2399199;Fabricação de outros produtos de minerais não-metálicos não especificados anteriormente;11;0
2411300;Produção de ferro-gusa;11;0
2412100;Produção de ferroligas;11;0
2421100;Produção de semi-acabados de aço;11;0
2422901;Produção de laminados planos de aço ao carbono, revestidos ou não;11;0
2422902;Produção de laminados planos de aços especiais;11;0
2423701;Produção de tubos de aço sem costura;11;0
2423702;Produção de laminados longos de aço, exceto tubos;11;0
2424501;Produção de arames de aço;11;0
2424502;Produção de relaminados, trefilados e perfilados de aço, exceto arames;11;0
2431800;Produção de tubos de aço com costura;11;0
2439300;Produção de outros tubos de ferro e aço;11;0
2441501;Produção de alumínio e suas ligas em formas primárias;11;0
2441502;Produção de laminados de alumínio;11;0
2442300;Metalurgia dos metais preciosos;11;0
2443100;Metalurgia do cobre;11;0
2449101;Produção de zinco em formas primárias;11;0
2449102;Produção de laminados de zinco;11;0
2449103;Produção de soldas e ânodos para galvanoplastia;11;0
2449199;Metalurgia de outros metais não-ferrosos e suas ligas não especificados anteriormente;11;0
2451200;Fundição de ferro e aço;11;0
2452100;Fundição de metais não-ferrosos e suas ligas;11;0
2511000;Fabricação de estruturas metálicas;11;0
2512800;Fabricação de esquadrias de metal;11;0
2513600;Fabricação de obras de caldeiraria pesada;11;0
2521700;Fabricação de tanques, reservatórios metálicos e caldeiras para aquecimento central;11;0
2522500;Fabricação de caldeiras geradoras de vapor, exceto para aquecimento central e para veículos;11;0
2531401;Produção de forjados de aço;11;0
2531402;Produção de forjados de metais não-ferrosos e suas ligas;11;0
2532201;Produção de artefatos estampados de metal;11;0
2532202;Metalurgia do pó;11;0
2539000;Serviços de usinagem, solda, tratamento e revestimento em metais (Desativado);11;0
2539001;Serviços de usinagem, tornearia e solda;11;0
2539002;Serviços de tratamento e revestimento em metais;11;0
2541100;Fabricação de artigos de cutelaria;11;0
2542000;Fabricação de artigos de serralheria, exceto esquadrias;11;0
2543800;Fabricação de ferramentas;11;0
2550101;Fabricação de equipamento bélico pesado, exceto veículos militares de combate;11;0
2550102;Fabricação de armas de fogo e munições;11;0
2591800;Fabricação de embalagens metálicas;11;0
2592601;Fabricação de produtos de trefilados de metal padronizados;11;0
2592602;Fabricação de produtos de trefilados de metal, exceto padronizados;11;0
2593400;Fabricação de artigos de metal para uso doméstico e pessoal;11;0
2599301;Serviços de confecção de armações metálicas para a construção;11;0
2599302;Serviços de corte e dobra de metais;11;0
2599399;Fabricação de outros produtos de metal não especificados anteriormente;11;0
2610800;Fabricação de componentes eletrônicos;11;0
2621300;Fabricação de equipamentos de informática;11;0
2622100;Fabricação de periféricos para equipamentos de informática;11;0
2631100;Fabricação de equipamentos transmissores de comunicação, peças e acessórios;11;0
2632900;Fabricação de aparelhos telefônicos e de outros equipamentos de comunicação, peças e acessórios;11;0
2640000;Fabricação de aparelhos de recepção, reprodução, gravação e amplificação de áudio e vídeo;11;0
2651500;Fabricação de aparelhos e equipamentos de medida, teste e controle;11;0
2652300;Fabricação de cronômetros e relógios;11;0
2660400;Fabricação de aparelhos eletromédicos e eletroterapêuticos e equipamentos de irradiação;11;0
2670101;Fabricação de equipamentos e instrumentos ópticos, peças e acessórios;11;0
2670102;Fabricação de aparelhos fotográficos e cinematográficos, peças e acessórios;11;0
2680900;Fabricação de mídias virgens, magnéticas e ópticas;11;0
2710401;Fabricação de geradores de corrente contínua e alternada, peças e acessórios;11;0
2710402;Fabricação de transformadores, indutores, conversores, sincronizadores e semelhantes, peças e acessórios;11;0
2710403;Fabricação de motores elétricos, peças e acessórios;11;0
2721000;Fabricação de pilhas, baterias e acumuladores elétricos, exceto para veículos automotores;11;0
2722801;Fabricação de baterias e acumuladores para veículos automotores;11;0
2722802;Recondicionamento de baterias e acumuladores para veículos automotores;11;0
2731700;Fabricação de aparelhos e equipamentos para distribuição e controle de energia elétrica;11;0
2732500;Fabricação de material elétrico para instalações em circuito de consumo;11;0
2733300;Fabricação de fios, cabos e condutores elétricos isolados;11;0
2740601;Fabricação de lâmpadas;11;0
2740602;Fabricação de luminárias e outros equipamentos de iluminação;11;0
2751100;Fabricação de fogões, refrigeradores e máquinas de lavar e secar para uso doméstico, peças e acessórios;11;0
2759701;Fabricação de aparelhos elétricos de uso pessoal, peças e acessórios;11;0
2759799;Fabricação de outros aparelhos eletrodomésticos não especificados anteriormente, peças e acessórios;11;0
2790201;Fabricação de eletrodos, contatos e outros artigos de carvão e grafita para uso elétrico, eletroímãs e isoladores;11;0
2790202;Fabricação de equipamentos para sinalização e alarme;11;0
2790299;Fabricação de outros equipamentos e aparelhos elétricos não especificados anteriormente;11;0
2811900;Fabricação de motores e turbinas, peças e acessórios, exceto para aviões e veículos rodoviários;11;0
2812700;Fabricação de equipamentos hidráulicos e pneumáticos, peças e acessórios, exceto válvulas;11;0
2813500;Fabricação de válvulas, registros e dispositivos semelhantes, peças e acessórios;11;0
2814301;Fabricação de compressores para uso industrial, peças e acessórios;11;0
2814302;Fabricação de compressores para uso não-industrial, peças e acessórios;11;0
2815101;Fabricação de rolamentos para fins industriais;11;0
2815102;Fabricação de equipamentos de transmissão para fins industriais, exceto rolamentos;11;0
2821601;Fabricação de fornos industriais, aparelhos e equipamentos não-elétricos para instalações térmicas, peças e acessórios;11;0
2821602;Fabricação de estufas e fornos elétricos para fins industriais, peças e acessórios;11;0
2822401;Fabricação de máquinas, equipamentos e aparelhos para transporte e elevação de pessoas, peças e acessórios;11;0
2822402;Fabricação de máquinas, equipamentos e aparelhos para transporte e elevação de cargas, peças e acessórios;11;0
2823200;Fabricação de máquinas e aparelhos de refrigeração e ventilação para uso industrial e comercial, peças e acessórios;11;0
2824101;Fabricação de aparelhos e equipamentos de ar condicionado para uso industrial;11;0
2824102;Fabricação de aparelhos e equipamentos de ar condicionado para uso não-industrial;11;0
2825900;Fabricação de máquinas e equipamentos para saneamento básico e ambiental, peças e acessórios;11;0
2829101;Fabricação de máquinas de escrever, calcular e outros equipamentos não-eletrônicos para escritório, peças e acessórios;11;0
2829199;Fabricação de outras máquinas e equipamentos de uso geral não especificados anteriormente, peças e acessórios;11;0
2831300;Fabricação de tratores agrícolas, peças e acessórios;11;0
2832100;Fabricação de equipamentos para irrigação agrícola, peças e acessórios;11;0
2833000;Fabricação de máquinas e equipamentos para a agricultura e pecuária, peças e acessórios, exceto para irrigação;11;0
2840200;Fabricação de máquinas-ferramenta, peças e acessórios;11;0
2851800;Fabricação de máquinas e equipamentos para a prospecção e extração de petróleo, peças e acessórios;11;0
2852600;Fabricação de outras máquinas e equipamentos para uso na extração mineral, peças e acessórios, exceto na extração de petróleo;11;0
2853400;Fabricação de tratores, peças e acessórios, exceto agrícolas;11;0
2854200;Fabricação de máquinas e equipamentos para terraplenagem, pavimentação e construção, peças e acessórios, exceto tratores;11;0
2861500;Fabricação de máquinas para a indústria metalúrgica, peças e acessórios, exceto máquinas-ferramenta;11;0
2862300;Fabricação de máquinas e equipamentos para as indústrias de alimentos, bebidas e fumo, peças e acessórios;11;0
2863100;Fabricação de máquinas e equipamentos para a indústria têxtil, peças e acessórios;11;0
2864000;Fabricação de máquinas e equipamentos para as indústrias do vestuário, do couro e de calçados, peças e acessórios;11;0
2865800;Fabricação de máquinas e equipamentos para as indústrias de celulose, papel e papelão e artefatos, peças e acessórios;11;0
2866600;Fabricação de máquinas e equipamentos para a indústria do plástico, peças e acessórios;11;0
